,Unnamed: 0,hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,canceled_rate,total_stay,IsCanceled
39403,39403,Resort Hotel,0,226,2017,August,32,11,2,4,2,2.0,0,SC,ESP,Online TA,TA/TO,0,0,0,1,No Deposit,314.0,0.0,0,Transient,220.98,0,1,Check-Out,2017-08-17,0.22017879180086086,6,0
39420,39420,Resort Hotel,0,20,2017,August,33,13,2,2,2,1.0,1,BB,ESP,Direct,Direct,0,0,0,1,No Deposit,250.0,0.0,0,Transient,254.0,0,1,Check-Out,2017-08-17,0.22017879180086086,4,0
39431,39431,Resort Hotel,0,2,2017,August,33,17,0,1,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient-Party,231.0,0,3,Check-Out,2017-08-18,0.17861433720464556,1,0
39432,39432,Resort Hotel,0,2,2017,August,33,17,0,1,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient-Party,231.0,0,3,Check-Out,2017-08-18,0.17861433720464556,1,0
39436,39436,Resort Hotel,0,6,2017,August,33,15,0,3,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,217.33,0,2,Check-Out,2017-08-18,0.2209284392350401,3,0
39447,39447,Resort Hotel,0,33,2017,August,33,14,1,3,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,241.0,0.0,0,Transient,240.37,1,1,Check-Out,2017-08-18,0.22017879180086086,4,0
39467,39467,Resort Hotel,0,56,2017,August,33,18,0,1,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient-Party,284.0,0,4,Check-Out,2017-08-19,0.10588235294117647,1,0
39468,39468,Resort Hotel,0,57,2017,August,33,19,2,5,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient-Party,283.43,0,4,Check-Out,2017-08-26,0.10588235294117647,7,0
39469,39469,Resort Hotel,0,56,2017,August,33,18,0,1,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient-Party,270.0,0,4,Check-Out,2017-08-19,0.10588235294117647,1,0
39470,39470,Resort Hotel,0,57,2017,August,33,19,2,5,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient-Party,270.0,0,4,Check-Out,2017-08-26,0.10588235294117647,7,0
39476,39476,Resort Hotel,0,197,2017,August,32,12,2,5,2,0.0,0,BB,ESP,Direct,Direct,0,0,0,0,No Deposit,250.0,0.0,0,Transient,207.29,0,1,Check-Out,2017-08-19,0.22017879180086086,7,0
39490,39490,Resort Hotel,0,0,2017,August,33,17,0,2,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,179.0,0,1,Check-Out,2017-08-19,0.22017879180086086,2,0
39496,39496,Resort Hotel,0,32,2017,August,32,9,2,9,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,273.09,0,2,Check-Out,2017-08-20,0.2209284392350401,11,0
39498,39498,Resort Hotel,0,338,2017,August,32,9,2,9,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,215.24,0,4,Check-Out,2017-08-20,0.10588235294117647,11,0
39506,39506,Resort Hotel,0,43,2017,August,33,15,0,5,2,2.0,0,HB,ESP,Direct,Direct,0,0,0,5,No Deposit,250.0,0.0,0,Transient,337.0,1,2,Check-Out,2017-08-20,0.2209284392350401,5,0
39511,39511,Resort Hotel,0,88,2017,August,33,18,0,2,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,244.0,0,2,Check-Out,2017-08-20,0.2209284392350401,2,0
39512,39512,Resort Hotel,0,176,2017,August,32,12,2,6,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,1,No Deposit,240.0,0.0,0,Transient,232.0,0,2,Check-Out,2017-08-20,0.2209284392350401,8,0
39516,39516,Resort Hotel,0,280,2017,August,33,15,0,5,3,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,15.0,0.0,0,Transient,147.0,0,3,Check-Out,2017-08-20,0.17861433720464556,5,0
39522,39522,Resort Hotel,0,69,2017,August,33,17,0,3,2,2.0,0,HB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,241.0,0.0,0,Transient,320.7,0,1,Check-Out,2017-08-20,0.22017879180086086,3,0
39526,39526,Resort Hotel,0,2,2017,August,33,19,0,1,2,1.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,241.0,0.0,0,Transient,201.14,1,1,Check-Out,2017-08-20,0.22017879180086086,1,0
39536,39536,Resort Hotel,0,367,2017,August,33,14,2,5,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,1,No Deposit,240.0,0.0,0,Transient,249.23,1,3,Check-Out,2017-08-21,0.17861433720464556,7,0
39537,39537,Resort Hotel,0,0,2017,August,34,20,1,0,2,0.0,0,BB,ESP,Direct,Direct,0,0,0,0,No Deposit,0.0,0.0,0,Transient,176.0,0,0,Check-Out,2017-08-21,0.47719612611459533,1,0
39538,39538,Resort Hotel,0,309,2017,August,34,21,1,2,2,0.0,0,HB,ESP,Online TA,Direct,0,0,0,0,No Deposit,240.0,0.0,0,Transient,181.18,0,1,Check-Out,2017-08-24,0.22017879180086086,3,0
39541,39541,Resort Hotel,0,194,2017,August,33,14,2,5,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,3,No Deposit,314.0,0.0,0,Transient,158.66,0,2,Check-Out,2017-08-21,0.2209284392350401,7,0
39543,39543,Resort Hotel,0,64,2017,August,33,16,1,4,3,1.0,0,HB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,388.0,0,2,Check-Out,2017-08-21,0.2209284392350401,5,0
39548,39548,Resort Hotel,0,3,2017,August,34,20,1,0,1,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,127.0,0.0,0,Transient,143.2,0,0,Check-Out,2017-08-21,0.47719612611459533,1,0
39549,39549,Resort Hotel,0,212,2017,August,33,17,1,3,2,1.0,0,BB,ESP,Online TA,TA/TO,0,0,0,1,No Deposit,240.0,0.0,0,Transient-Party,182.25,0,0,Check-Out,2017-08-21,0.47719612611459533,4,0
39550,39550,Resort Hotel,0,212,2017,August,33,17,1,3,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient-Party,153.75,0,0,Check-Out,2017-08-21,0.47719612611459533,4,0
39551,39551,Resort Hotel,0,7,2017,August,33,16,1,4,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,260.0,1,2,Check-Out,2017-08-21,0.2209284392350401,5,0
39567,39567,Resort Hotel,0,20,2017,August,33,19,2,1,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,230.0,0,2,Check-Out,2017-08-22,0.2209284392350401,3,0
39568,39568,Resort Hotel,0,104,2017,August,33,17,2,3,3,1.0,0,HB,ESP,Online TA,TA/TO,0,0,0,2,No Deposit,240.0,0.0,0,Transient,402.0,0,1,Check-Out,2017-08-22,0.22017879180086086,5,0
39570,39570,Resort Hotel,0,118,2017,August,33,17,2,3,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,264.0,0,2,Check-Out,2017-08-22,0.2209284392350401,5,0
39574,39574,Resort Hotel,0,7,2017,August,33,17,2,3,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,246.0,0,2,Check-Out,2017-08-22,0.2209284392350401,5,0
39576,39576,Resort Hotel,0,29,2017,August,33,16,2,4,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,272.5,0,2,Check-Out,2017-08-22,0.2209284392350401,6,0
39579,39579,Resort Hotel,0,76,2017,August,33,16,2,4,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,241.67,0,2,Check-Out,2017-08-22,0.2209284392350401,6,0
39584,39584,Resort Hotel,0,19,2017,August,33,19,2,1,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,266.0,0,2,Check-Out,2017-08-22,0.2209284392350401,3,0
39590,39590,Resort Hotel,0,30,2017,August,34,21,1,0,2,0.0,0,BB,ESP,Direct,Direct,0,0,0,0,No Deposit,250.0,0.0,0,Transient,299.0,1,1,Check-Out,2017-08-22,0.22017879180086086,1,0
39600,39600,Resort Hotel,0,4,2017,August,34,21,1,1,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,253.0,0,2,Check-Out,2017-08-23,0.2209284392350401,2,0
39602,39602,Resort Hotel,0,19,2017,August,34,21,1,1,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,241.0,0.0,0,Transient,182.0,0,1,Check-Out,2017-08-23,0.22017879180086086,2,0
39604,39604,Resort Hotel,0,183,2017,August,33,16,2,5,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,232.0,0,2,Check-Out,2017-08-23,0.2209284392350401,7,0
39605,39605,Resort Hotel,0,9,2017,August,34,22,0,1,2,2.0,0,BB,ESP,Direct,Direct,0,0,0,0,No Deposit,250.0,0.0,0,Transient,319.0,1,3,Check-Out,2017-08-23,0.17861433720464556,1,0
39608,39608,Resort Hotel,0,22,2017,August,33,19,2,2,3,1.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,340.0,0,1,Check-Out,2017-08-23,0.22017879180086086,4,0
39609,39609,Resort Hotel,0,0,2017,August,34,22,0,1,2,0.0,0,BB,ESP,Direct,Direct,0,0,0,0,No Deposit,0.0,0.0,0,Transient,180.0,0,0,Check-Out,2017-08-23,0.47719612611459533,1,0
39630,39630,Resort Hotel,0,82,2017,August,33,17,2,5,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,175.0,0.0,0,Transient,216.0,0,0,Check-Out,2017-08-24,0.47719612611459533,7,0
39631,39631,Resort Hotel,0,295,2017,August,34,20,2,2,2,1.0,0,HB,ESP,Online TA,TA/TO,0,0,0,1,No Deposit,240.0,0.0,0,Transient,306.0,0,3,Check-Out,2017-08-24,0.17861433720464556,4,0
39637,39637,Resort Hotel,0,1,2017,August,34,23,0,1,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,241.0,0.0,0,Transient,159.2,0,1,Check-Out,2017-08-24,0.22017879180086086,1,0
39640,39640,Resort Hotel,0,7,2017,August,34,21,1,2,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,274.67,0,2,Check-Out,2017-08-24,0.2209284392350401,3,0
39641,39641,Resort Hotel,0,3,2017,August,34,23,0,1,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,189.0,0,2,Check-Out,2017-08-24,0.2209284392350401,1,0
39642,39642,Resort Hotel,0,19,2017,August,34,21,1,2,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,210.0,0,2,Check-Out,2017-08-24,0.2209284392350401,3,0
39647,39647,Resort Hotel,0,4,2017,August,33,19,2,3,3,0.0,0,HB,ESP,Direct,Direct,0,0,0,1,No Deposit,250.0,0.0,0,Transient,350.2,0,1,Check-Out,2017-08-24,0.22017879180086086,5,0
39663,39663,Resort Hotel,0,197,2017,August,33,18,2,5,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,160.0,0,1,Check-Out,2017-08-25,0.22017879180086086,7,0
39667,39667,Resort Hotel,0,12,2017,August,34,21,1,3,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,256.0,0,2,Check-Out,2017-08-25,0.2209284392350401,4,0
39674,39674,Resort Hotel,0,124,2017,August,33,16,2,7,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,262.0,0,3,Check-Out,2017-08-25,0.17861433720464556,9,0
39681,39681,Resort Hotel,0,47,2017,August,34,23,0,2,2,2.0,0,BB,ESP,Direct,Direct,0,0,0,0,No Deposit,250.0,0.0,0,Transient,289.0,0,1,Check-Out,2017-08-25,0.22017879180086086,2,0
39689,39689,Resort Hotel,0,125,2017,August,34,20,2,4,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,276.0,1,2,Check-Out,2017-08-26,0.2209284392350401,6,0
39697,39697,Resort Hotel,0,157,2017,August,33,19,2,5,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,1,No Deposit,468.0,0.0,0,Transient-Party,211.6,1,1,Check-Out,2017-08-26,0.22017879180086086,7,0
39698,39698,Resort Hotel,0,17,2017,August,34,24,0,2,2,2.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,274.0,0,2,Check-Out,2017-08-26,0.2209284392350401,2,0
39708,39708,Resort Hotel,0,7,2017,August,34,21,1,4,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,210.0,0,2,Check-Out,2017-08-26,0.2209284392350401,5,0
39715,39715,Resort Hotel,0,0,2017,August,34,25,0,1,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,306.0,0.0,0,Transient,116.61,0,0,Check-Out,2017-08-26,0.47719612611459533,1,0
39724,39724,Resort Hotel,0,327,2017,August,33,17,2,8,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,196.0,0.0,0,Transient,142.58,1,2,Check-Out,2017-08-27,0.2209284392350401,10,0
39725,39725,Resort Hotel,0,134,2017,August,34,22,0,5,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient-Party,225.0,0,2,Check-Out,2017-08-27,0.2209284392350401,5,0
39726,39726,Resort Hotel,0,134,2017,August,34,22,0,5,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient-Party,239.0,0,2,Check-Out,2017-08-27,0.2209284392350401,5,0
39730,39730,Resort Hotel,0,7,2017,August,34,25,0,2,3,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,241.0,0.0,0,Transient,222.0,0,1,Check-Out,2017-08-27,0.22017879180086086,2,0
39732,39732,Resort Hotel,0,42,2017,August,34,23,0,4,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,262.0,0,1,Check-Out,2017-08-27,0.22017879180086086,4,0
39739,39739,Resort Hotel,0,58,2017,August,34,23,0,4,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,175.0,0.0,0,Transient,239.6,0,0,Check-Out,2017-08-27,0.47719612611459533,4,0
39744,39744,Resort Hotel,0,220,2017,August,34,22,0,5,2,2.0,0,BB,ESP,Online TA,TA/TO,0,0,0,2,No Deposit,240.0,0.0,0,Transient,258.0,0,1,Check-Out,2017-08-27,0.22017879180086086,5,0
39747,39747,Resort Hotel,0,4,2017,August,34,25,0,2,2,0.0,1,BB,ESP,Online TA,TA/TO,0,0,0,1,No Deposit,240.0,0.0,0,Transient,220.0,0,3,Check-Out,2017-08-27,0.17861433720464556,2,0
39750,39750,Resort Hotel,0,5,2017,August,34,25,0,2,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,274.0,1,2,Check-Out,2017-08-27,0.2209284392350401,2,0
39784,39784,Resort Hotel,0,13,2017,August,34,26,1,1,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,292.0,0,3,Check-Out,2017-08-28,0.17861433720464556,2,0
39786,39786,Resort Hotel,0,22,2017,August,34,25,1,2,2,2.0,0,HB,ESP,Online TA,TA/TO,0,0,0,1,No Deposit,240.0,0.0,0,Transient-Party,314.67,0,2,Check-Out,2017-08-28,0.2209284392350401,3,0
39787,39787,Resort Hotel,0,22,2017,August,34,25,1,2,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,1,No Deposit,240.0,0.0,0,Transient-Party,302.67,0,2,Check-Out,2017-08-28,0.2209284392350401,3,0
39789,39789,Resort Hotel,0,25,2017,August,34,22,1,5,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,279.33,1,3,Check-Out,2017-08-28,0.17861433720464556,6,0
39795,39795,Resort Hotel,0,27,2017,August,34,21,2,5,3,0.0,0,BB,ESP,Direct,Direct,0,0,0,0,No Deposit,250.0,0.0,0,Transient,326.71,1,2,Check-Out,2017-08-28,0.2209284392350401,7,0
39796,39796,Resort Hotel,0,203,2017,August,34,21,2,5,2,0.0,0,SC,ESP,Direct,Direct,0,0,0,1,No Deposit,250.0,0.0,0,Transient,240.8,0,3,Check-Out,2017-08-28,0.17861433720464556,7,0
39798,39798,Resort Hotel,0,6,2017,August,34,24,1,3,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,267.0,0,2,Check-Out,2017-08-28,0.2209284392350401,4,0
39801,39801,Resort Hotel,0,102,2017,August,34,21,2,5,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,196.0,0.0,0,Transient,281.43,1,0,Check-Out,2017-08-28,0.47719612611459533,7,0
39811,39811,Resort Hotel,0,250,2017,August,34,23,2,4,2,1.0,0,HB,ESP,Direct,Direct,0,0,0,1,No Deposit,250.0,0.0,0,Transient,266.43,1,2,Check-Out,2017-08-29,0.2209284392350401,6,0
39812,39812,Resort Hotel,0,204,2017,August,34,26,2,1,2,1.0,0,HB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,15.0,0.0,0,Transient-Party,168.6,0,2,Check-Out,2017-08-29,0.2209284392350401,3,0
39814,39814,Resort Hotel,0,204,2017,August,34,26,2,1,2,1.0,0,HB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,15.0,0.0,0,Transient-Party,168.6,0,2,Check-Out,2017-08-29,0.2209284392350401,3,0
39815,39815,Resort Hotel,0,23,2017,August,34,26,2,1,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,241.0,0.0,0,Transient,168.0,0,1,Check-Out,2017-08-29,0.22017879180086086,3,0
39818,39818,Resort Hotel,0,204,2017,August,34,26,2,1,2,2.0,0,HB,ESP,Online TA,TA/TO,0,0,0,1,No Deposit,314.0,0.0,0,Transient,181.8,0,1,Check-Out,2017-08-29,0.22017879180086086,3,0
39824,39824,Resort Hotel,0,21,2017,August,34,25,2,2,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,224.0,0,2,Check-Out,2017-08-29,0.2209284392350401,4,0
39829,39829,Resort Hotel,0,41,2017,August,34,26,2,2,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,266.0,1,2,Check-Out,2017-08-30,0.2209284392350401,4,0
39835,39835,Resort Hotel,0,85,2017,August,35,27,2,1,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,236.0,1,2,Check-Out,2017-08-30,0.2209284392350401,3,0
39865,39865,Resort Hotel,0,8,2017,August,35,30,0,1,1,0.0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,104.0,0.0,0,Transient,166.5,0,0,Check-Out,2017-08-31,0.47719612611459533,1,0
39880,39880,Resort Hotel,0,59,2017,August,34,26,2,3,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,230.0,0,4,Check-Out,2017-08-31,0.10588235294117647,5,0
39896,39896,Resort Hotel,0,59,2017,August,34,26,2,3,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,230.0,0,4,Check-Out,2017-08-31,0.10588235294117647,5,0
39899,39899,Resort Hotel,0,56,2017,August,35,28,1,2,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,175.0,0.0,0,Transient,191.6,1,0,Check-Out,2017-08-31,0.47719612611459533,3,0
39914,39914,Resort Hotel,0,31,2017,August,35,28,1,3,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,196.75,1,2,Check-Out,2017-09-01,0.2209284392350401,4,0
39915,39915,Resort Hotel,0,1,2017,August,35,28,1,3,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,1,No Deposit,240.0,0.0,0,Transient,212.5,0,3,Check-Out,2017-09-01,0.17861433720464556,4,0
39921,39921,Resort Hotel,0,37,2017,August,34,26,2,4,2,0.0,0,HB,ESP,Direct,Direct,0,0,0,1,No Deposit,250.0,0.0,0,Transient,277.67,1,1,Check-Out,2017-09-01,0.22017879180086086,6,0
39925,39925,Resort Hotel,0,5,2017,August,34,26,2,5,2,2.0,0,HB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,336.57,1,2,Check-Out,2017-09-02,0.2209284392350401,7,0
39939,39939,Resort Hotel,0,30,2017,August,35,29,0,4,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,196.5,1,2,Check-Out,2017-09-02,0.2209284392350401,4,0
39940,39940,Resort Hotel,0,128,2017,August,35,28,1,4,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,237.0,0,2,Check-Out,2017-09-02,0.2209284392350401,5,0
39943,39943,Resort Hotel,0,37,2017,August,35,28,1,4,2,2.0,0,HB,ESP,Online TA,TA/TO,0,0,0,1,No Deposit,240.0,0.0,0,Transient,298.0,1,3,Check-Out,2017-09-02,0.17861433720464556,5,0
39953,39953,Resort Hotel,0,1,2017,August,35,31,0,2,2,0.0,0,BB,ESP,Direct,Direct,0,0,0,0,No Deposit,250.0,0.0,0,Transient,184.0,1,0,Check-Out,2017-09-02,0.47719612611459533,2,0
39974,39974,Resort Hotel,0,17,2017,August,35,31,0,3,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient-Party,207.0,0,3,Check-Out,2017-09-03,0.17861433720464556,3,0
39975,39975,Resort Hotel,0,17,2017,August,35,31,0,3,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient-Party,221.0,0,3,Check-Out,2017-09-03,0.17861433720464556,3,0
39982,39982,Resort Hotel,0,13,2017,August,35,28,1,5,2,1.0,0,HB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,242.0,0.0,0,Transient,250.2,1,3,Check-Out,2017-09-03,0.17861433720464556,6,0
39985,39985,Resort Hotel,0,19,2017,August,35,31,0,3,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,15.0,0.0,0,Transient,165.6,0,0,Check-Out,2017-09-03,0.47719612611459533,3,0
39986,39986,Resort Hotel,0,9,2017,August,35,28,1,5,2,2.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,232.5,0,2,Check-Out,2017-09-03,0.2209284392350401,6,0
39990,39990,Resort Hotel,0,7,2017,August,35,30,1,4,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,192.0,1,1,Check-Out,2017-09-04,0.22017879180086086,5,0
40002,40002,Resort Hotel,0,97,2017,August,35,27,4,5,2,0.0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,134.0,0.0,0,Transient,156.0,0,0,Check-Out,2017-09-05,0.47719612611459533,9,0
40048,40048,Resort Hotel,0,239,2017,August,35,29,2,9,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,184.73,0,2,Check-Out,2017-09-09,0.2209284392350401,11,0
40442,40442,City Hotel,0,19,2015,July,30,25,2,2,2,0.0,0,BB,ESP,Groups,TA/TO,0,0,0,0,No Deposit,1.0,0.0,0,Transient-Party,62.0,0,0,Check-Out,2015-07-29,0.47719612611459533,4,0
40467,40467,City Hotel,0,19,2015,July,30,25,2,2,2,0.0,0,BB,ESP,Groups,TA/TO,0,0,0,0,No Deposit,1.0,0.0,0,Transient-Party,62.0,0,1,Check-Out,2015-07-29,0.22017879180086086,4,0
40478,40478,City Hotel,0,25,2015,July,31,27,1,1,2,0.0,0,BB,ESP,Groups,TA/TO,0,0,0,0,No Deposit,1.0,0.0,0,Transient-Party,62.0,0,0,Check-Out,2015-07-29,0.47719612611459533,2,0
40481,40481,City Hotel,0,25,2015,July,31,27,1,1,2,0.0,0,BB,ESP,Groups,TA/TO,0,0,0,0,No Deposit,1.0,0.0,0,Transient-Party,62.0,0,0,Check-Out,2015-07-29,0.47719612611459533,2,0
40484,40484,City Hotel,0,25,2015,July,31,27,1,1,3,0.0,0,BB,ESP,Groups,TA/TO,0,0,0,1,No Deposit,1.0,0.0,0,Transient-Party,84.0,0,0,Check-Out,2015-07-29,0.47719612611459533,2,0
40490,40490,City Hotel,0,25,2015,July,31,27,1,1,2,0.0,0,BB,ESP,Groups,TA/TO,0,0,0,0,No Deposit,1.0,0.0,0,Transient-Party,62.0,0,0,Check-Out,2015-07-29,0.47719612611459533,2,0
40491,40491,City Hotel,0,25,2015,July,31,27,1,1,2,0.0,0,BB,ESP,Groups,TA/TO,0,0,0,0,No Deposit,1.0,0.0,0,Transient-Party,62.0,0,0,Check-Out,2015-07-29,0.47719612611459533,2,0
40493,40493,City Hotel,0,25,2015,July,31,27,1,1,1,0.0,0,BB,ESP,Groups,TA/TO,0,0,0,1,No Deposit,1.0,0.0,0,Transient-Party,60.0,0,0,Check-Out,2015-07-29,0.47719612611459533,2,0
40499,40499,City Hotel,0,25,2015,July,31,27,1,1,2,0.0,0,BB,ESP,Groups,TA/TO,0,0,0,0,No Deposit,1.0,0.0,0,Transient-Party,62.0,0,0,Check-Out,2015-07-29,0.47719612611459533,2,0
40500,40500,City Hotel,0,25,2015,July,31,27,1,1,2,0.0,0,BB,ESP,Groups,TA/TO,0,0,0,0,No Deposit,1.0,0.0,0,Transient-Party,62.0,0,0,Check-Out,2015-07-29,0.47719612611459533,2,0
40501,40501,City Hotel,0,25,2015,July,31,27,1,1,1,0.0,0,BB,ESP,Groups,TA/TO,0,0,0,0,No Deposit,1.0,0.0,0,Transient-Party,60.0,0,0,Check-Out,2015-07-29,0.47719612611459533,2,0
